movie_id,genre_id,genre_name
1058710,53,Thriller
680493,9648,Mystery
680493,18,Drama
680493,27,Horror
1088434,28,Action
1088434,53,Thriller
1168190,28,Action
1168190,35,Comedy
1168190,80,Crime
1168190,9648,Mystery
1311031,16,Animation
1311031,28,Action
1311031,14,Fantasy
1419406,28,Action
1419406,80,Crime
1419406,18,Drama
1419406,53,Thriller
755898,878,Science Fiction
755898,53,Thriller
1368166,18,Drama
1368166,9648,Mystery
1368166,53,Thriller
1582770,28,Action
1582770,80,Crime
1582770,53,Thriller
1634301,28,Action
1634301,18,Drama
1242898,28,Action
1242898,878,Science Fiction
1242898,12,Adventure
969681,878,Science Fiction
969681,28,Action
969681,12,Adventure
1284460,27,Horror
1284460,18,Drama
1284460,878,Science Fiction
1284460,53,Thriller
1234731,12,Adventure
1234731,35,Comedy
1234731,27,Horror
278,18,Drama
278,80,Crime
1451398,27,Horror
1387382,28,Action
1387382,18,Drama
1387382,53,Thriller
1119449,878,Science Fiction
1119449,28,Action
1119449,35,Comedy
749343,80,Crime
749343,18,Drama
749343,10770,TV Movie
11431,10749,Romance
11431,35,Comedy
11375,28,Action
11375,12,Adventure
11375,35,Comedy
11375,53,Thriller
1167307,16,Animation
1167307,10751,Family
1167307,18,Drama
7451,28,Action
7451,12,Adventure
7451,53,Thriller
7451,80,Crime
7451,18,Drama
991708,14,Fantasy
991708,35,Comedy
991708,27,Horror
337170,28,Action
337170,35,Comedy
337170,80,Crime
337170,18,Drama
244458,35,Comedy
244458,80,Crime
244458,27,Horror
244458,14,Fantasy
217890,10752,War
217890,18,Drama
1317288,18,Drama
1317288,53,Thriller
1306368,28,Action
1306368,53,Thriller
1306368,80,Crime
1217584,35,Comedy
1272837,27,Horror
1272837,53,Thriller
1272837,878,Science Fiction
1314786,18,Drama
1314786,53,Thriller
1584215,28,Action
858024,18,Drama
858024,10749,Romance
858024,36,History
1362514,27,Horror
803796,14,Fantasy
803796,10402,Music
803796,35,Comedy
803796,16,Animation
696393,27,Horror
696393,878,Science Fiction
696393,35,Comedy
46283,18,Drama
54979,12,Adventure
54979,18,Drama
1448560,28,Action
1448560,53,Thriller
458576,28,Action
458576,14,Fantasy
458576,12,Adventure
1539104,16,Animation
1539104,28,Action
1539104,14,Fantasy
425274,53,Thriller
425274,80,Crime
384530,18,Drama
1650558,10749,Romance
1062722,18,Drama
1062722,14,Fantasy
1062722,27,Horror
1601243,28,Action
1601243,80,Crime
1601243,53,Thriller
1601243,37,Western
157336,12,Adventure
157336,18,Drama
157336,878,Science Fiction
24428,878,Science Fiction
24428,28,Action
24428,12,Adventure
1426964,28,Action
1426964,53,Thriller
1426964,80,Crime
1426964,18,Drama
1511417,28,Action
1511417,18,Drama
1367642,10749,Romance
1367642,18,Drama
759584,37,Western
759584,28,Action
759584,18,Drama
36568,18,Drama
36568,35,Comedy
36568,10751,Family
36568,12,Adventure
1266127,27,Horror
1266127,35,Comedy
1401778,53,Thriller
1401778,28,Action
1401778,12,Adventure
1401778,18,Drama
1401778,14,Fantasy
1170608,878,Science Fiction
1170608,12,Adventure
1170608,53,Thriller
461955,28,Action
461955,878,Science Fiction
461955,27,Horror
461955,10752,War
911430,28,Action
911430,18,Drama
1424965,18,Drama
1424965,53,Thriller
1297842,16,Animation
1297842,35,Comedy
1297842,10751,Family
14223,18,Drama
14223,27,Horror
14223,53,Thriller
1196067,878,Science Fiction
1196067,28,Action
1196067,27,Horror
1241470,878,Science Fiction
1241470,28,Action
1241470,27,Horror
1246049,27,Horror
1246049,14,Fantasy
1246049,10749,Romance
542559,18,Drama
238,18,Drama
238,80,Crime
1110034,27,Horror
1110034,28,Action
1110034,53,Thriller
81471,18,Drama
81471,53,Thriller
81471,27,Horror
798645,28,Action
798645,53,Thriller
798645,878,Science Fiction
438631,878,Science Fiction
438631,12,Adventure
15598,35,Comedy
15598,18,Drama
15598,10749,Romance
1363123,28,Action
1363123,35,Comedy
1180831,28,Action
1180831,14,Fantasy
1180831,53,Thriller
335490,53,Thriller
1003596,878,Science Fiction
1003596,28,Action
1003596,12,Adventure
191583,37,Western
1226863,10751,Family
1226863,14,Fantasy
1226863,35,Comedy
1226863,12,Adventure
1226863,16,Animation
634649,28,Action
634649,12,Adventure
634649,878,Science Fiction
1291335,10749,Romance
1291335,35,Comedy
276746,9648,Mystery
276746,14,Fantasy
276746,27,Horror
929831,878,Science Fiction
929831,35,Comedy
929831,18,Drama
456483,14,Fantasy
456483,10751,Family
456483,18,Drama
1010581,18,Drama
1010581,10749,Romance
1010581,53,Thriller
299536,12,Adventure
299536,28,Action
299536,878,Science Fiction
121872,18,Drama
879945,18,Drama
1234821,878,Science Fiction
1234821,12,Adventure
1234821,28,Action
1450966,35,Comedy
1450966,18,Drama
1381027,53,Thriller
1381027,18,Drama
1381027,9648,Mystery
36304,10751,Family
36304,18,Drama
428390,18,Drama
428390,35,Comedy
502356,10751,Family
502356,35,Comedy
502356,12,Adventure
502356,16,Animation
502356,14,Fantasy
1228246,27,Horror
1228246,53,Thriller
588787,18,Drama
588787,10749,Romance
52702,27,Horror
1191876,18,Drama
1291608,28,Action
1291608,80,Crime
1291608,53,Thriller
1159831,878,Science Fiction
1159831,27,Horror
1159831,14,Fantasy
1464786,18,Drama
1813,27,Horror
1813,18,Drama
1813,9648,Mystery
991494,16,Animation
991494,10751,Family
991494,35,Comedy
991494,12,Adventure
991494,14,Fantasy
126889,27,Horror
126889,878,Science Fiction
1218925,16,Animation
1218925,28,Action
