adult,backdrop_path,belongs_to_collection,budget,genres,homepage,id,imdb_id,origin_country,original_language,original_title,overview,popularity,poster_path,production_companies,production_countries,release_date,revenue,runtime,spoken_languages,status,tagline,title,video,vote_average,vote_count,genre_ids
False,/hYgUkH7TusddHRtelj53I6gFOWR.jpg,,,,,799882,,,en,The Bluff,"When her tranquil life on a remote island is shattered by the return of her vengeful former captain, a skilled ex-pirate must confront her bloody past and unleash her deadly talents to save her family from a ruthless siege.",173.224,/w0jwjFmRu2or7LQqh1tSMFjq0At.jpg,,,2026-02-17,,,,,,The Bluff,False,6.313,283,"[28, 53]"
False,/lgotja3xMoJZbynwHfcQcJAEMWH.jpg,,,,,1084242,,,en,Zootopia 2,"After cracking the biggest case in Zootopia's history, rookie cops Judy Hopps and Nick Wilde find themselves on the twisting trail of a great mystery when Gary De'Snake arrives and turns the animal metropolis upside down. To crack the case, Judy and Nick must go undercover to unexpected new parts of town, where their growing partnership is tested like never before.",173.0347,/oJ7g2CifqpStmoYQyaLQgEU32qO.jpg,,,2025-11-26,,,,,,Zootopia 2,False,7.606,2222,"[16, 35, 12, 10751, 9648]"
False,/zpEWFNqoN8Qg1SzMMHmaGyOBTdW.jpg,,,,,1054867,,,en,One Battle After Another,"Washed-up revolutionary Bob exists in a state of stoned paranoia, surviving off-grid with his spirited, self-reliant daughter, Willa. When his evil nemesis resurfaces after 16 years and she goes missing, the former radical scrambles to find her, father and daughter both battling the consequences of his past.",143.547,/lbBWwxBht4JFP5PsuJ5onpMqugW.jpg,,,2025-09-23,,,,,,One Battle After Another,False,7.397,3174,"[53, 80, 35]"
False,/8Tfys3mDZVp4tNoH2ktm06a0Tau.jpg,,,,,687163,,,en,Project Hail Mary,"Science teacher Ryland Grace wakes up on a spaceship light years from home with no recollection of who he is or how he got there. As his memory returns, he begins to uncover his mission: solve the riddle of the mysterious substance causing the sun to die out. He must call on his scientific knowledge and unorthodox ideas to save everything on Earth from extinction… but an unexpected friendship means he may not have to do it alone.",154.7895,/yihdXomYb5kTeSivtFndMy5iDmf.jpg,,,2026-03-15,,,,,,Project Hail Mary,False,8.4,69,"[878, 12, 9648]"
False,/u9jE0R1nvkmdWu3bt7Op8joPywa.jpg,,,,,840464,,,en,Greenland 2: Migration,"Having found the safety of the Greenland bunker after the comet Clarke decimated the Earth, the Garrity family must now risk everything to embark on a perilous journey across the wasteland of Europe to find a new home.",147.2027,/z2tqCJLsw6uEJ8nJV8BsQXGa3dr.jpg,,,2026-01-07,,,,,,Greenland 2: Migration,False,6.413,630,"[12, 53, 878]"
False,/2RrLuIfIzGWWIH8IAEo6o0IYHmx.jpg,,,,,1327819,,,en,Hoppers,"Scientists have discovered how to 'hop' human consciousness into lifelike robotic animals, allowing people to communicate with animals as animals. Animal lover Mabel seizes an opportunity to use the technology, uncovering mysteries within the animal world beyond anything she could have imagined.",137.5015,/xjtWQ2CL1mpmMNwuU5HeS4Iuwuu.jpg,,,2026-03-04,,,,,,Hoppers,False,7.7,215,"[16, 10751, 878, 35]"
False,/52AkwEfQiJl2HuTPMZ2yC5Bdr9I.jpg,,,,,1171145,,,en,Crime 101,"When an elusive thief whose high-stakes heists unfold along the iconic 101 freeway in Los Angeles eyes the score of a lifetime, with hopes of this being his final job, his path collides with a disillusioned insurance broker who is facing her own crossroads. Determined to crack the case, a relentless detective closes in on the operation, raising the stakes even higher.",136.0543,/heMdO64ys1hR896YE2jvTv8JlBX.jpg,,,2026-02-11,,,,,,Crime 101,False,7.0,183,"[80, 53]"
False,/hz7TdCrpLLt2Dz7S3PS2HG9rpAO.jpg,,,,,1159559,,,en,Scream 7,"When a new Ghostface killer emerges in the quiet town where Sidney Prescott has built a new life, her darkest fears are realized as her daughter becomes the next target. Determined to protect her family, Sidney must face the horrors of her past to put an end to the bloodshed once and for all.",130.1839,/jjyuk0edLiW8vOSnlfwWCCLpbh5.jpg,,,2026-02-25,,,,,,Scream 7,False,5.937,350,"[27, 9648, 80]"
False,/7HKpc11uQfxnw0Y8tRUYn1fsKqE.jpg,,,,,1236153,,,en,Mercy,"In the near future, a detective stands on trial accused of murdering his wife. He has ninety minutes to prove his innocence to the advanced AI Judge he once championed, before it determines his fate.",124.5491,/91gH7E7Jqc2QSuKbp8OWQxbyh1Q.jpg,,,2026-01-20,,,,,,Mercy,False,7.078,755,"[878, 28, 53]"
False,/nAxGnGHOsfzufThz20zgmRwKur3.jpg,,,,,1233413,,,en,Sinners,"Trying to leave their troubled lives behind, twin brothers return to their hometown to start again, only to discover that an even greater evil is waiting to welcome them back.",119.6716,/705nQHqe4JGdEisrQmVYmXyjs1U.jpg,,,2025-04-16,,,,,,Sinners,False,7.474,4057,"[27, 28, 53]"
