adult,backdrop_path,belongs_to_collection,budget,genres,homepage,id,imdb_id,origin_country,original_language,original_title,overview,popularity,poster_path,production_companies,production_countries,release_date,revenue,runtime,spoken_languages,status,tagline,title,video,vote_average,vote_count
False,/sWz9xXDFwStSrycjU6qesvPLhjn.jpg,,0,"[{'id': 18, 'name': 'Drama'}, {'id': 35, 'name': 'Comedy'}, {'id': 12, 'name': 'Adventure'}]",,1629462,,['AU'],en,In the Meantime,"A determined young actor whose convinced he's destined to be the ""greatest"", is willing to sacrifice everything for the audition of a lifetime.",0.136,/nqdvbPR2Yq1bVTwLLRMRNecrimm.jpg,"[{'id': 288338, 'logo_path': None, 'name': 'ZWStudios', 'origin_country': ''}]","[{'iso_3166_1': 'AU', 'name': 'Australia'}]",2029-01-01,0,0,[],Planned,GREAT ART REQUIRES SACRIFICE,In the Meantime,False,0.0,0
False,/uQHvaTLaafTs3zaoeFxBusrKiE3.jpg,,0,"[{'id': 12, 'name': 'Adventure'}, {'id': 18, 'name': 'Drama'}]",http://www.thereforyoumovie.com,1605186,,['US'],en,There For You,"A depressive man and his unexpected niece went on a holiday vacation to New York. The trip was intended to be the man's final vacation before his suicide, but his niece found out his intention and helped him to choose not to end his life.",0.0748,/jTkC754AOoQ7hRLZUeG4qq9EABu.jpg,"[{'id': 189609, 'logo_path': None, 'name': 'Pastel', 'origin_country': ''}]",[],2028-12-27,0,0,[],In Production,THERE'S NO POINT OF LIVING,There For You,False,0.0,0
False,,,0,[],,1625852,,['US'],en,A Sleigh of One's Own,One woman's journey of self-discovery and coming to terms with her husband's sexuality. That woman? Mrs. Claus.,0.266,/z0lBbD64WQ0rLPrzGZLOgVPjqgs.jpg,[],[],2028-12-25,0,0,[],Rumored,,A Sleigh of One's Own,False,0.0,0
False,,,0,"[{'id': 878, 'name': 'Science Fiction'}, {'id': 28, 'name': 'Action'}]",,1468313,tt39085480,"['JP', 'US']",en,Untitled Sonic Universe Film,A film set in the Sonic universe.,0.2218,,"[{'id': 4, 'logo_path': '/jay6WcMgagAklUt7i9Euwj1pzTF.png', 'name': 'Paramount Pictures', 'origin_country': 'US'}, {'id': 333, 'logo_path': '/5xUJfzPZ8jWJUDzYtIeuPO4qPIa.png', 'name': 'Original Film', 'origin_country': 'US'}, {'id': 113750, 'logo_path': '/A3QVZ9Ah0yI2d2GiXUFpdlbTgyr.png', 'name': 'SEGA', 'origin_country': 'JP'}, {'id': 168701, 'logo_path': '/vWdZFT4V64CCv12D10m44duQjyg.png', 'name': 'SEGA of America', 'origin_country': 'US'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}, {'iso_3166_1': 'JP', 'name': 'Japan'}]",2028-12-22,0,0,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Planned,,Untitled Sonic Universe Film,False,0.0,0
False,,,0,"[{'id': 27, 'name': 'Horror'}, {'id': 28, 'name': 'Action'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}, {'id': 9648, 'name': 'Mystery'}, {'id': 80, 'name': 'Crime'}, {'id': 35, 'name': 'Comedy'}]",,1439365,,"['AT', 'IE']",en,Half Blood Origins or Lush Stealth Era,"A couple face the consequences of their past, blah blah blah.",0.1406,,"[{'id': 291553, 'logo_path': None, 'name': 'Gruagach Films', 'origin_country': ''}]","[{'iso_3166_1': 'IE', 'name': 'Ireland'}]",2028-12-18,0,110,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}, {'english_name': 'Irish', 'iso_639_1': 'ga', 'name': 'Gaeilge'}]",Planned,,Half Blood Origins or Lush Stealth Era,False,0.0,0
False,,,0,"[{'id': 10749, 'name': 'Romance'}, {'id': 53, 'name': 'Thriller'}, {'id': 80, 'name': 'Crime'}]",,1211845,,['TR'],tr,Tetiği Çekmedikçe Emniyetli,"A lonely and ruthless hit man falls in love with the woman he is assigned to kill, but she is about to commit suicide.",0.2558,/6nUfVSFKYeDSZWy3ZmtQz60GRY4.jpg,"[{'id': 214882, 'logo_path': None, 'name': 'Zıvana Film', 'origin_country': ''}]","[{'iso_3166_1': 'TR', 'name': 'Turkey'}]",2028-12-01,0,0,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}, {'english_name': 'Turkish', 'iso_639_1': 'tr', 'name': 'Türkçe'}]",Rumored,,Safe Unless You Pull The Trigger,False,0.0,0
False,,,0,"[{'id': 878, 'name': 'Science Fiction'}, {'id': 28, 'name': 'Action'}]",,1545226,tt38996949,['US'],en,Untitled Teenage Mutant Ninja Turtles Film,A live Action/CGI hybrid film. Plot TBA.,0.5676,,"[{'id': 4, 'logo_path': '/jay6WcMgagAklUt7i9Euwj1pzTF.png', 'name': 'Paramount Pictures', 'origin_country': 'US'}, {'id': 333, 'logo_path': '/5xUJfzPZ8jWJUDzYtIeuPO4qPIa.png', 'name': 'Original Film', 'origin_country': 'US'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2028-11-16,0,0,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Planned,,Untitled Teenage Mutant Ninja Turtles Film,False,0.0,0
False,,,0,"[{'id': 53, 'name': 'Thriller'}]",,1639029,tt39402593,['US'],en,Manson's War,Beyond the flatland's where the Spahn Ranch once stood a gathering of Charles Manson devotees find refuge in the woods. When a member of their group is brutally attacked they are forced to take revenge.,0.2861,/5zFhbzNdWlTL7vcz2rr6w5wwaEU.jpg,"[{'id': 289970, 'logo_path': None, 'name': 'The American Trash', 'origin_country': ''}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2028-11-12,0,0,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",In Production,,Manson's War,False,0.0,0
False,/aAU7G5R7gLiWb1oTvLNLkSP9pkR.jpg,,0,"[{'id': 16, 'name': 'Animation'}, {'id': 14, 'name': 'Fantasy'}, {'id': 878, 'name': 'Science Fiction'}]",,1138526,tt17423726,['US'],en,The Lunar Chronicles,"Once upon a time, in the future, Grimm’s heroines and heroes join forces in an epic sci-fi fairy tale that challenges everything we think we know about their stories to reframe how we face an uncertain future with hope.",0.3217,/uHetNUxDujMrd9C4OYkmN2WidNM.jpg,"[{'id': 121605, 'logo_path': '/4rc0vsJWygNm9ojrxSdPVU9jKyj.png', 'name': 'Locksmith Animation', 'origin_country': 'GB'}, {'id': 257419, 'logo_path': '/hMYPBQ7Pej9gTLRK7nqI3fJvQMQ.png', 'name': 'Warner Bros. Pictures Animation', 'origin_country': 'US'}, {'id': 8805, 'logo_path': '/77RCtjFOnX2cbQ24z4q7IDzqZV4.png', 'name': 'Industrial Light & Magic', 'origin_country': 'US'}]","[{'iso_3166_1': 'GB', 'name': 'United Kingdom'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]",2028-11-02,0,0,[],In Production,,The Lunar Chronicles,False,0.0,0
False,,,0,[],,1608956,,['US'],en,Lesai: The Movie,"After the death of his parents, lesai is apart of a project that ended of going wrong, but will Lesai Justin and ivailo stop this new villain before it too late?",0.0,,[],[],2028-10-27,0,180,[],In Production,Lesai,Lesai: The Movie,False,0.0,0
