id,title,release_date,vote_average,vote_count
1311031,Demon Slayer: Kimetsu no Yaiba Infinity Castle,2025-07-18,7.667,767
1419406,The Shadow's Edge,2025-08-16,7.208,503
755898,War of the Worlds,2025-07-29,4.2,928
1368166,The Housemaid,2025-12-18,7.234,1549
1582770,Dhurandhar: The Revenge,2026-03-18,7.5,10
1634301,Vanaveera,2026-02-13,7.0,3
1242898,Predator: Badlands,2025-11-05,7.702,2429
969681,Spider-Man: Brand New Day,2026-07-29,0.0,0
1284460,Alpha,2025-08-20,6.376,97
1234731,Anaconda,2025-12-24,5.9,811
278,The Shawshank Redemption,1994-09-23,8.717,29947
1451398,Re/Member: The Last Night,2025-09-05,4.7,9
1387382,Hunting Season,2025-12-05,6.984,157
1119449,"Good Luck, Have Fun, Don't Die",2026-02-13,6.878,196
749343,The Catcher,1972-06-02,6.0,1
11431,Fever Pitch,2005-04-06,6.2,750
11375,Hollywood Homicide,2003-06-09,5.2,686
1167307,David,2025-12-14,8.0,108
7451,xXx,2002-08-09,5.98,4821
991708,El Conde,2023-09-07,6.157,338
337170,American Made,2017-08-18,6.9,4903
244458,The Voices,2014-01-19,6.248,1875
217890,The Hook,1963-02-15,6.1,17
1317288,Marty Supreme,2025-12-19,7.469,1364
1306368,The Rip,2026-01-13,7.068,1396
1217584,Torrente for President,2026-03-13,6.5,11
1272837,28 Years Later: The Bone Temple,2026-01-14,7.199,849
1314786,Agent Zeta,2026-03-20,6.667,9
1584215,The Internship,2026-01-13,6.11,59
858024,Hamnet,2025-11-26,7.7,1061
1362514,House on Eden,2025-07-25,4.731,39
803796,KPop Demon Hunters,2025-06-20,8.041,2540
696393,Cold Storage,2026-01-22,6.743,220
46283,The Sisters,2005-04-23,4.763,19
54979,Robinson Crusoe,1954-08-05,6.339,93
1448560,Wildcat,2025-11-19,6.201,139
458576,Monster Hunter,2020-12-03,6.526,3509
1539104,JUJUTSU KAISEN: Execution,2025-11-07,5.8,86
425274,Now You See Me: Now You Don't,2025-11-12,6.546,1251
384530,Cipher Bureau,1938-10-25,4.4,5
1650558,Abot Langit,2026-03-13,5.0,1
1062722,Frankenstein,2025-10-17,7.7,3162
1601243,Oscar Shaw,2026-01-09,6.692,26
157336,Interstellar,2014-11-05,8.468,39152
24428,The Avengers,2012-04-25,7.97,36562
1426964,State of Fear,2026-02-10,5.424,59
1516744,Shall we Dance?,2014-02-09,0.0,0
1511417,Bāhubali: The Epic,2025-10-29,6.0,33
1367642,Reminders of Him,2026-03-11,7.0,52
759584,Surrounded,2023-04-02,6.041,74
36568,Paulie,1998-04-17,6.9,516
1266127,Ready or Not: Here I Come,2026-03-19,7.5,14
1401778,Turbulence,2025-11-26,5.9,76
1170608,Dune: Part Three,2026-12-16,0.0,0
461955,Rakka,2017-06-14,6.994,341
911430,F1,2025-06-25,7.751,3587
1424965,Ice Skater,2026-02-24,5.7,10
1297842,GOAT,2026-02-11,7.5,114
14223,Wind Chill,2007-05-18,5.834,516
1196067,Worldbreaker,2025-10-30,5.896,101
1241470,Osiris,2025-07-25,5.912,210
1246049,Dracula,2025-07-30,7.096,962
542559,Last Summer,2018-06-07,6.688,16
238,The Godfather,1972-03-14,8.687,22625
1110034,Kraken,2026-02-06,6.2,8
81471,Tintorera: Killer Shark,1977-04-07,3.791,43
798645,The Running Man,2025-11-11,6.769,1287
438631,Dune,2021-09-15,7.778,14583
15598,Alfie,1966-03-29,6.5,225
1363123,The Family Plan 2,2025-11-11,6.536,521
1180831,Troll 2,2025-11-30,6.462,439
335490,The Idealist,2015-04-09,7.243,35
1003596,Avengers: Doomsday,2026-12-16,0.0,0
191583,War Drums,1957-03-21,5.8,11
1226863,The Super Mario Galaxy Movie,2026-04-01,0.0,0
634649,Spider-Man: No Way Home,2021-12-15,7.933,21676
1291335,Solo Mio,2026-02-05,6.993,76
276746,The Enchanted,1984-02-03,5.429,8
929831,The Empire,2024-02-21,4.842,98
456483,Wonderwell,2023-06-23,5.645,31
1010581,My Fault,2023-06-08,7.751,4019
299536,Avengers: Infinity War,2018-04-25,8.234,31618
121872,Ginger & Rosa,2012-10-18,6.0,239
879945,The Unknown Man,2021-10-16,8.5,2
1234821,Jurassic World Rebirth,2025-07-01,6.299,3115
1450966,Racek,2025-04-10,0.0,0
1381027,The Good Boy,2026-03-06,7.792,36
36304,Village of Dreams,1996-07-13,5.9,10
428390,Stereotype,1997-11-30,8.0,1
1137770,Plastic,2023-07-14,0.0,0
502356,The Super Mario Bros. Movie,2023-04-05,7.59,10348
1228246,Five Nights at Freddy's 2,2025-12-03,6.692,817
588787,Ordinary Love,2019-12-06,6.8,156
52702,Superstition,1982-08-26,6.074,129
1191876,From the Ashes,2027-06-01,0.0,0
1291608,Dhurandhar,2025-12-05,6.9,218
1159831,The Bride!,2026-03-04,6.305,177
1464786,Mole's world,2025-06-05,4.5,2
1813,The Devil's Advocate,1997-10-17,7.466,6657
991494,The SpongeBob Movie: Search for SquarePants,2025-12-16,6.8,239
126889,Alien: Covenant,2017-05-09,6.172,9297
1218925,Chainsaw Man - The Movie: Reze Arc,2025-09-19,8.322,763
1439112,Muzzle: City of Wolves,2025-11-13,6.699,113
693134,Dune: Part Two,2024-02-27,8.1,7650
62029,Bingo Bongo,1982-12-23,5.735,170
465212,Deadly Game,1982-09-03,2.6,5
1069905,Jay Kelly,2025-11-14,6.143,384
1220564,The Secret Agent,2025-07-23,7.341,542
1508646,Once Upon a Time on the Westway,2007-05-03,0.0,0
457332,Hidden Strike,2023-07-06,6.89,1055
1214931,Nuremberg,2025-11-06,7.338,743
1305781,Blades of the Guardians: Wind Rises in the Desert,2026-02-17,7.094,32
1078605,Weapons,2025-08-04,7.265,3073
1248226,Playdate,2025-11-04,6.025,550
120,The Lord of the Rings: The Fellowship of the Ring,2001-12-18,8.429,27174
546766,Petmalu,2018-09-05,0.0,0
533533,TRON: Ares,2025-10-08,6.5,1273
597,Titanic,1997-12-18,7.903,26900
